DATE,OPEN,HIGH,LOW,PREV. CLOSE,VOLUME,VALUE,NO OF TRADES,CLOSE 
13-07-2022,1450,1460,1438.6,1438.6,5264025,7620819406,147896,1444.45
14-07-2022,1451,1452.95,1414,1444.45,6157606,8832840290,144148,1428.85
15-07-2022,1446,1446,1410.65,1428.85,5620018,8007893440,170216,1430.35
18-07-2022,1450,1493.6,1448.05,1430.35,5835171,8645565249,162450,1489.9
19-07-2022,1471.55,1486.85,1470.1,1489.9,3418540,5055304449,114499,1484.15
20-07-2022,1501.25,1525.8,1500,1484.15,5079392,7698482417,158381,1515.3
21-07-2022,1517,1535.45,1503.1,1515.3,5008061,7649415941,157115,1532.9
22-07-2022,1534,1540,1492.15,1532.9,7020642,10584325682,215051,1506.3
25-07-2022,1480.1,1517.15,1480.1,1506.3,7859626,11790653831,212233,1503.6
26-07-2022,1496.65,1496.65,1445,1503.6,7268273,10619587082,265599,1451.15
27-07-2022,1451,1473,1445,1451.15,4517285,6599237910,160787,1471.05
28-07-2022,1496.4,1524.45,1489.85,1471.05,6636841,10033186129,252053,1517.4
29-07-2022,1532.8,1555.7,1528,1517.4,7009465,10845376720,246805,1549.7
01-08-2022,1564,1564,1537.9,1549.7,2983249,4624672840,149288,1551.05
02-08-2022,1546.55,1547,1528.35,1551.05,4374635,6728992376,171243,1543.6
03-08-2022,1549,1570,1539.9,1543.6,6011955,9368113438,188692,1566.1
04-08-2022,1587.5,1603.85,1574.95,1566.1,7402209,11797374600,237197,1599.9
05-08-2022,1608.4,1625.7,1602.3,1599.9,5361971,8667507627,175709,1616.65
08-08-2022,1617,1622,1596,1616.65,3763409,6058238546,169613,1619.4
10-08-2022,1621.2,1621.2,1588.1,1619.4,4423829,7074914444,155928,1602.45
11-08-2022,1630,1631.35,1616,1602.45,3462090,5613033931,130406,1619.95
12-08-2022,1613.3,1614,1590.15,1619.95,3562286,5695442292,151120,1594.1
16-08-2022,1609,1609,1591.1,1594.1,3004430,4802176271,116646,1596.45
17-08-2022,1596.45,1612,1585,1596.45,4067324,6519451948,139693,1606.25
18-08-2022,1594.1,1598.2,1574,1606.25,4635706,7340980026,151600,1582.95
19-08-2022,1585.3,1604.9,1585.1,1582.95,4739884,7568803663,163412,1597.1
22-08-2022,1586,1599,1574,1597.1,3950555,6266191901,108149,1575.65
23-08-2022,1548,1554.5,1533,1575.65,5551574,8563038004,205150,1542.4
24-08-2022,1535,1546,1531,1542.4,2888426,4443785545,154990,1537.5
25-08-2022,1548,1548.7,1513.75,1537.5,4331088,6638650735,167891,1518.15
26-08-2022,1535.15,1544.95,1517.45,1518.15,3079136,4711766478,101529,1521.55
29-08-2022,1468.55,1468.55,1450,1521.55,8079050,11782306781,361066,1461.75
30-08-2022,1473.1,1496.1,1466,1461.75,6725875,9992739411,185187,1492.95
01-09-2022,1460.05,1468.1,1451.05,1492.95,8140604,11890304298,319918,1464.2
02-09-2022,1478,1478,1448,1464.2,5175653,7537834806,199570,1453
05-09-2022,1451,1467,1446.35,1453,3669352,5356763255,133172,1461.3
06-09-2022,1461.3,1470,1445.45,1461.3,3428442,4992913121,129028,1455.1
07-09-2022,1440,1465.75,1438.05,1455.1,3600574,5231731491,137578,1457.65
08-09-2022,1475,1481.1,1463.6,1457.65,4061475,5984186690,147100,1475.9
09-09-2022,1488,1520,1480,1475.9,4816910,7222390189,157963,1511.65
12-09-2022,1525.8,1545.9,1521.15,1511.65,5494819,8454360841,157389,1536.2
13-09-2022,1551.9,1553,1541.3,1536.2,4947158,7656540764,113762,1544.95
14-09-2022,1497,1498.95,1472,1544.95,14332197,21221602848,431674,1475.4
15-09-2022,1475,1475.2,1429.05,1475.4,12784100,18438008294,502967,1432.8
16-09-2022,1425,1425,1368.35,1432.8,20464045,28404270085,603746,1377.05
19-09-2022,1392,1406,1380.6,1377.05,6595241,9184142465,234193,1390.3
20-09-2022,1407.95,1413.55,1385.1,1390.3,7219797,10105898809,212073,1388.55
21-09-2022,1379.9,1388.8,1368.4,1388.55,7917054,10914326538,304433,1377.25
22-09-2022,1366.35,1383.95,1360,1377.25,9168498,12573695053,289781,1367.95
23-09-2022,1367.5,1394.8,1362,1367.95,10426200,14357016788,306005,1365.45
26-09-2022,1360,1399.45,1355,1365.45,9414587,12999291293,283295,1380.25
27-09-2022,1393.45,1406.5,1378,1380.25,8561254,11928032959,234333,1393.55
